Text,Topic label
"This was quite yummy (I tried it) and also is nice and thick to help older babies learn to eat food with more texture. My son preferred this to apple sauce, which is about half as thick as this.",unknown
I never liked the taste of the refried beans in a can. I tried these and they were just as good as the kind you get in a mexican food restaurant. Melt some cheese on top.  I just ordered two of the cases of 8 each.,unknown
"It works reasonably well with condenser microphones.  With dynamics the hum exceeds the signal.  Works with Windows, not with Linux.  The build is very cheap.  Anything more than $5 for this is too much.",unknown
The taste is very good! Oat bran is much more creamy than one-minute quick oat (it just doesn't tastes like oat...). A perfect food for somebody on diet. Just one single tablespoon of oat bran would make you feel very full.,unknown
"Bold and tangy, the Taco Bell Spicy Ranchero Sauce is excellent.  We've used it with tacos and with flautas, and now there is none left in our sample bottle!  Everyone liked it, even those who normally don't care for spicy foods.  Off to the grocery for more!",unknown
"This is one of the easiest coconut oils to cook and bake with. The taste is not very strong so that you can cook non dessert like food with it as well.  I use it for almost everything. Food, skin, hair etc.",unknown
"Love this Sauce. Taste is perfect, I use this Sauce with so many food but mostly with macaroni cheese so Go for it. Best Sauce...!!!",unknown
"We were looking for an organic food after the melamine poisoning of pet food debacle. Newman's Own dry foods for cats and dogs are manufactured in the US per their corporate veterinarian. Newman's Own is up front about their ingredients. For an organic food it is affordable. Also it has been great at keeping skin issues under control. Lastly Newman's Own is listed as a ""More Responsible Pet Food Company"" on several websites.",unknown
I got a case of Yuban cans from Amazon for an amazing price and now that I've been reintroduced to Yuban I'm sticking with it.  It's Colombian which is the coffee I prefer anyway but Yuban  must have a special formula for roasting and grinding that results in such excellent coffee.  Cans have the foil seals that you can peel off so you don't need to use a can opener and of course plastic lids to reseal.  Sniffing this coffee as I scoop it into my coffee maker is half the delight!!  Just so excellent and suits my tastes perfectly.  Buying the case is very convenient too!!!!,coffee
"I received my package today, ""FOG CHASER"" and was the first cup really good. Full body and full taste just like it came ground fresh....and no, i don't know or work for the company, just thought you would like an honest review from someone that buys 6-8 boxes of K-cup coffee a month. I noticed NO sediment in my cup and yes they cut the corner by leaving off the pastic cup to avoid the copyright that says they would then owe Kuerig a percentage....which drives up the price of all coffe in K-cups. IT'S NOT A K-CUP, BUT WILL FIT A K CUP MAKER, and that is what they advertise.  I can live with putting the filter cups in a baggie. I don't need to show off my coffee in a carousel, so this is just great to get a ""subscription discount"" for this good of a coffee that will fit my k-cup brewer.",coffee
